person,dept,eow,cause,cause_short,date,year,canine,dept_name,state
Deputy U.S. Marshal William Fields,"United States Department of Justice - United States Marshals Service, US","EOW: Sunday, April 10, 1887",Cause of Death: Gunfire,Gunfire,1887-04-10,1887,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy U.S. Marshal Dan Maples,"United States Department of Justice - United States Marshals Service, US","EOW: Thursday, May 5, 1887",Cause of Death: Gunfire,Gunfire,1887-05-05,1887,FALSE,United States Department of Justice - United States Marshals Service, US
Private Julian F. Arnold,"Alexandria Police Department, VA","EOW: Sunday, May 15, 1887",Cause of Death: Gunfire,Gunfire,1887-05-15,1887,FALSE,Alexandria Police Department, VA
Deputy Sheriff William Cox,"Dubois County Sheriff's Department, IN","EOW: Monday, May 23, 1887",Cause of Death: Gunfire,Gunfire,1887-05-23,1887,FALSE,Dubois County Sheriff's Department, IN
Policeman George Jackson,"Philadelphia Police Department, PA","EOW: Monday, May 23, 1887",Cause of Death: Assault,Assault,1887-05-23,1887,FALSE,Philadelphia Police Department, PA
City Marshal Edward Whitaker,"Georgetown Police Department, OH","EOW: Wednesday, May 25, 1887",Cause of Death: Gunfire,Gunfire,1887-05-25,1887,FALSE,Georgetown Police Department, OH
Town Marshal John Conger,"Oak Ridge Marshal's Office, LA","EOW: Monday, June 27, 1887",Cause of Death: Gunfire,Gunfire,1887-06-27,1887,FALSE,Oak Ridge Marshal's Office, LA
Deputy Jailer Tim Anderson,"Madison County Sheriff's Office, AL","EOW: Thursday, July 7, 1887",Cause of Death: Assault,Assault,1887-07-07,1887,FALSE,Madison County Sheriff's Office, AL
Patrolman William Hallaran,"Chicago Police Department, IL","EOW: Saturday, July 16, 1887",Cause of Death: Gunfire,Gunfire,1887-07-16,1887,FALSE,Chicago Police Department, IL
Town Marshal George Thomas,"Pineville Police Department, KY","EOW: Saturday, July 30, 1887",Cause of Death: Gunfire,Gunfire,1887-07-30,1887,FALSE,Pineville Police Department, KY
Constable Anthony DeLong,"Craig Constable's Office, MO","EOW: Saturday, July 30, 1887",Cause of Death: Gunfire,Gunfire,1887-07-30,1887,FALSE,Craig Constable's Office, MO
Deputy Sheriff William J. Stanley,"Williamson County Sheriff's Office, TX","EOW: Saturday, August 6, 1887",Cause of Death: Gunfire,Gunfire,1887-08-06,1887,FALSE,Williamson County Sheriff's Office, TX
Sheriff Charles L. Lynch,"Alpena County Sheriff's Department, MI","EOW: Wednesday, August 17, 1887",Cause of Death: Gunfire,Gunfire,1887-08-17,1887,FALSE,Alpena County Sheriff's Department, MI
"Town Marshal J. T. ""Tode"" Hurst","Decatur Police Department, GA","EOW: Friday, August 26, 1887",Cause of Death: Gunfire,Gunfire,1887-08-26,1887,FALSE,Decatur Police Department, GA
Patrolman Philip L. Robinson,"Chicago Police Department, IL","EOW: Monday, September 5, 1887",Cause of Death: Gunfire,Gunfire,1887-09-05,1887,FALSE,Chicago Police Department, IL
Deputy Sheriff Joshua B. Warman,"Smith County Sheriff's Office, TN","EOW: Saturday, September 17, 1887",Cause of Death: Gunfire,Gunfire,1887-09-17,1887,FALSE,Smith County Sheriff's Office, TN
Constable Jerry M. Matthews,"Matagorda County Constable's Office - Precinct 3, TX","EOW: Sunday, September 25, 1887",Cause of Death: Gunfire,Gunfire,1887-09-25,1887,FALSE,Matagorda County Constable's Office - Precinct 3, TX
Policeman William D. Johnston,"Philadelphia Police Department, PA","EOW: Monday, October 3, 1887",Cause of Death: Gunfire,Gunfire,1887-10-03,1887,FALSE,Philadelphia Police Department, PA
Patrolman Joseph Boyle,"Louisville Police Department, KY","EOW: Friday, October 7, 1887",Cause of Death: Gunfire,Gunfire,1887-10-07,1887,FALSE,Louisville Police Department, KY
City Marshal John E. Martindale,"Cuero Police Department, TX","EOW: Tuesday, October 25, 1887",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),1887-10-25,1887,FALSE,Cuero Police Department, TX
Patrolman Patrick J. Treanor,"New York Municipal Police Department, NY","EOW: Monday, October 31, 1887",Cause of Death: Struck by train,Struck by train,1887-10-31,1887,FALSE,New York Municipal Police Department, NY
Patrolman John Keegan,"Chicago Police Department, IL","EOW: Friday, November 4, 1887",Cause of Death: Gunfire,Gunfire,1887-11-04,1887,FALSE,Chicago Police Department, IL
Deputy U.S. Marshal John Carleton,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, November 5, 1887",Cause of Death: Gunfire,Gunfire,1887-11-05,1887,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Maurice B. Moore,"Travis County Sheriff's Office, TX","EOW: Thursday, November 10, 1887",Cause of Death: Gunfire,Gunfire,1887-11-10,1887,FALSE,Travis County Sheriff's Office, TX
Deputy U.S. Marshal Frank Dalton,"United States Department of Justice - United States Marshals Service, US","EOW: Sunday, November 27, 1887",Cause of Death: Gunfire,Gunfire,1887-11-27,1887,FALSE,United States Department of Justice - United States Marshals Service, US
Patrolman Frank Seip,"Cincinnati Police Department, OH","EOW: Friday, December 2, 1887",Cause of Death: Duty related illness,Duty related illness,1887-12-02,1887,FALSE,Cincinnati Police Department, OH
"Deputy U.S. Marshal E. A. ""Ed"" Stokley","United States Department of Justice - United States Marshals Service, US","EOW: Saturday, December 3, 1887",Cause of Death: Gunfire,Gunfire,1887-12-03,1887,FALSE,United States Department of Justice - United States Marshals Service, US
"Deputy Sheriff Gabriel B. Hollingsworth, Jr.","Arapahoe County Sheriff's Office, CO","EOW: Saturday, December 10, 1887",Cause of Death: Gunfire,Gunfire,1887-12-10,1887,FALSE,Arapahoe County Sheriff's Office, CO
Constable John Nimrod Ferguson,"Union Parish Ward 8 Constable's Office, LA","EOW: Friday, December 16, 1887",Cause of Death: Gunfire,Gunfire,1887-12-16,1887,FALSE,Union Parish Ward 8 Constable's Office, LA
Sheriff Henry Harrison Winters,"Hickman County Sheriff's Office, KY","EOW: Saturday, December 31, 1887",Cause of Death: Gunfire,Gunfire,1887-12-31,1887,FALSE,Hickman County Sheriff's Office, KY
Patrolman Joseph Glenn,"Wheeling Police Department, WV","EOW: Tuesday, January 17, 1888",Cause of Death: Gunfire,Gunfire,1888-01-17,1888,FALSE,Wheeling Police Department, WV
Deputy Sheriff John Manning Awtrey,"Tuscaloosa County Sheriff's Department, AL","EOW: Tuesday, January 24, 1888",Cause of Death: Gunfire,Gunfire,1888-01-24,1888,FALSE,Tuscaloosa County Sheriff's Department, AL
Chief Constable Louis Drucker,"New Canaan Police Department, CT","EOW: Wednesday, January 25, 1888",Cause of Death: Gunfire,Gunfire,1888-01-25,1888,FALSE,New Canaan Police Department, CT
Posse Member Medley Hair,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","EOW: Saturday, January 28, 1888",Cause of Death: Gunfire,Gunfire,1888-01-28,1888,FALSE,United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US
Posse Member Jack Candy,"United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US","EOW: Saturday, January 28, 1888",Cause of Death: Gunfire,Gunfire,1888-01-28,1888,FALSE,United States Department of the Interior - Bureau of Indian Affairs - Division of Law Enforcement, US
Deputy Sheriff Albert Little,"Gonzales County Sheriff's Department, TX","EOW: Wednesday, February 8, 1888",Cause of Death: Gunfire,Gunfire,1888-02-08,1888,FALSE,Gonzales County Sheriff's Department, TX
Deputy Sheriff Bill Thompson,"Las Animas County Sheriff's Office, CO","EOW: Friday, February 17, 1888",Cause of Death: Gunfire,Gunfire,1888-02-17,1888,FALSE,Las Animas County Sheriff's Office, CO
Jailer George V. Tallman,"San Mateo County Sheriff's Office, CA","EOW: Friday, February 24, 1888",Cause of Death: Assault,Assault,1888-02-24,1888,FALSE,San Mateo County Sheriff's Office, CA
Deputy Sheriff Jacob Helbert,"Ashland County Sheriff's Department, OH","EOW: Saturday, February 25, 1888",Cause of Death: Gunfire,Gunfire,1888-02-25,1888,FALSE,Ashland County Sheriff's Department, OH
Constable William H. Kelly,"Ashland County Sheriff's Department, OH","EOW: Saturday, February 25, 1888",Cause of Death: Gunfire,Gunfire,1888-02-25,1888,FALSE,Ashland County Sheriff's Department, OH
Patrolman William Sanders,"Cincinnati Police Department, OH","EOW: Sunday, March 11, 1888",Cause of Death: Gunfire (Accidental),Gunfire (Accidental),1888-03-11,1888,FALSE,Cincinnati Police Department, OH
City Marshal David Gordon,"Columbus Police Department, KS","EOW: Friday, March 16, 1888",Cause of Death: Gunfire,Gunfire,1888-03-16,1888,FALSE,Columbus Police Department, KS
Detective Elie D. Kreigh,"Chicago and Alton Railroad Police Department, RR","EOW: Tuesday, April 3, 1888",Cause of Death: Gunfire,Gunfire,1888-04-03,1888,FALSE,Chicago and Alton Railroad Police Department, RR
Acting Deputy Sheriff Thomas H. Nowlin,"Llano County Sheriff's Office, TX","EOW: Thursday, April 5, 1888",Cause of Death: Gunfire,Gunfire,1888-04-05,1888,FALSE,Llano County Sheriff's Office, TX
Assistant Marshal Edward H. Davis,"Nelsonville Police Department, OH","EOW: Tuesday, April 24, 1888",Cause of Death: Gunfire,Gunfire,1888-04-24,1888,FALSE,Nelsonville Police Department, OH
Deputy Sheriff Jake Bowman,"Cochise County Sheriff's Department, AZ","EOW: Wednesday, April 25, 1888",Cause of Death: Gunfire,Gunfire,1888-04-25,1888,FALSE,Cochise County Sheriff's Department, AZ
Constable Albert P. Crigler,"Cloverdale Police Department, CA","EOW: Saturday, April 28, 1888",Cause of Death: Gunfire,Gunfire,1888-04-28,1888,FALSE,Cloverdale Police Department, CA
Police Officer John Pearce,"Monroe Police Department, NC","EOW: Sunday, May 6, 1888",Cause of Death: Assault,Assault,1888-05-06,1888,FALSE,Monroe Police Department, NC
Officer Thomas Donlon,"Lexington Police Department, KY","EOW: Saturday, May 12, 1888",Cause of Death: Gunfire,Gunfire,1888-05-12,1888,FALSE,Lexington Police Department, KY
"Deputy Sheriff Doctor A. ""John"" Shipe","Knox County Sheriff's Office, TN","EOW: Monday, May 21, 1888",Cause of Death: Gunfire,Gunfire,1888-05-21,1888,FALSE,Knox County Sheriff's Office, TN
Patrolman Thomas Chidlow,"Pittsburgh Police Department, PA","EOW: Thursday, May 24, 1888",Cause of Death: Struck by train,Struck by train,1888-05-24,1888,FALSE,Pittsburgh Police Department, PA
Deputy Constable Morris T. Dunn,"Fannin County Constable's Office - Precinct 7, TX","EOW: Saturday, May 26, 1888",Cause of Death: Gunfire,Gunfire,1888-05-26,1888,FALSE,Fannin County Constable's Office - Precinct 7, TX
Patrolman Timothy Sullivan,"Chicago Police Department, IL","EOW: Wednesday, June 13, 1888",Cause of Death: Gunfire,Gunfire,1888-06-13,1888,FALSE,Chicago Police Department, IL
Constable Sadosa Connellee,"Scott County Constable's Office, KY","EOW: Monday, June 25, 1888",Cause of Death: Gunfire,Gunfire,1888-06-25,1888,FALSE,Scott County Constable's Office, KY
Deputy U.S. Marshal John D. Trammel,"United States Department of Justice - United States Marshals Service, US","EOW: Tuesday, June 26, 1888",Cause of Death: Gunfire,Gunfire,1888-06-26,1888,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy U.S. Marshal John Phillips,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, June 30, 1888",Cause of Death: Gunfire,Gunfire,1888-06-30,1888,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy U.S. Marshal William Whitson,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, June 30, 1888",Cause of Death: Gunfire,Gunfire,1888-06-30,1888,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Sheriff Robert Lockwood,"Grant County Sheriff's Department, OR","EOW: Sunday, July 8, 1888",Cause of Death: Gunfire,Gunfire,1888-07-08,1888,FALSE,Grant County Sheriff's Department, OR
Constable Charles B. Dorris,"Summersville Police Department, MO","EOW: Wednesday, July 18, 1888",Cause of Death: Gunfire,Gunfire,1888-07-18,1888,FALSE,Summersville Police Department, MO
Deputy Sheriff Lilburn Henderson Trigg,"Washington County Sheriff's Office, VA","EOW: Tuesday, July 24, 1888",Cause of Death: Gunfire,Gunfire,1888-07-24,1888,FALSE,Washington County Sheriff's Office, VA
Sheriff John M. Cross,"Stevens County Sheriff's Office, KS","EOW: Wednesday, July 25, 1888",Cause of Death: Gunfire,Gunfire,1888-07-25,1888,FALSE,Stevens County Sheriff's Office, KS
Special Deputy Cyrus W. Eaton,"Stevens County Sheriff's Office, KS","EOW: Wednesday, July 25, 1888",Cause of Death: Gunfire,Gunfire,1888-07-25,1888,FALSE,Stevens County Sheriff's Office, KS
Special Deputy Robert Hubbard,"Stevens County Sheriff's Office, KS","EOW: Wednesday, July 25, 1888",Cause of Death: Gunfire,Gunfire,1888-07-25,1888,FALSE,Stevens County Sheriff's Office, KS
Special Deputy Roland Wilcox,"Stevens County Sheriff's Office, KS","EOW: Wednesday, July 25, 1888",Cause of Death: Gunfire,Gunfire,1888-07-25,1888,FALSE,Stevens County Sheriff's Office, KS
Park Policeman John Gardner,"St. Louis Park Rangers, MO","EOW: Wednesday, August 1, 1888",Cause of Death: Weather/Natural disaster,Weather/Natural disaster,1888-08-01,1888,FALSE,St. Louis Park Rangers, MO
Police Officer Hans Hanson,"St. Paul Police Department, MN","EOW: Friday, August 3, 1888",Cause of Death: Gunfire,Gunfire,1888-08-03,1888,FALSE,St. Paul Police Department, MN
Deputy Sheriff Cesario Lucero,"Cochise County Sheriff's Department, AZ","EOW: Sunday, August 12, 1888",Cause of Death: Gunfire,Gunfire,1888-08-12,1888,FALSE,Cochise County Sheriff's Department, AZ
Patrolman James W. Jones,"Louisville Police Department, KY","EOW: Thursday, August 16, 1888",Cause of Death: Stabbed,Stabbed,1888-08-16,1888,FALSE,Louisville Police Department, KY
Patrolman Joseph Rosenberg,"Louisville Police Department, KY","EOW: Thursday, August 16, 1888",Cause of Death: Stabbed,Stabbed,1888-08-16,1888,FALSE,Louisville Police Department, KY
Officer Frederick J. Palmore,"Springfield Police Department, MO","EOW: Thursday, August 16, 1888",Cause of Death: Gunfire,Gunfire,1888-08-16,1888,FALSE,Springfield Police Department, MO
Deputized Civilian Jasper N. Coghlan,"Wise County Sheriff's Office, TX","EOW: Saturday, September 8, 1888",Cause of Death: Gunfire,Gunfire,1888-09-08,1888,FALSE,Wise County Sheriff's Office, TX
Marshal John S. Harris,"Cedarville Police Department, OH","EOW: Wednesday, October 3, 1888",Cause of Death: Gunfire,Gunfire,1888-10-03,1888,FALSE,Cedarville Police Department, OH
City Marshal Edward F. Whittier,"Cheney Police Department, WA","EOW: Tuesday, October 9, 1888",Cause of Death: Animal related,Animal related,1888-10-09,1888,FALSE,Cheney Police Department, WA
"Police Officer Peter Poull, Jr.","Moorhead Police Department, MN","EOW: Wednesday, October 17, 1888",Cause of Death: Gunfire,Gunfire,1888-10-17,1888,FALSE,Moorhead Police Department, MN
Officer Willard S. Burton,"Elkhart Police Department, IN","EOW: Saturday, October 27, 1888",Cause of Death: Gunfire,Gunfire,1888-10-27,1888,FALSE,Elkhart Police Department, IN
Patrolman James Madison Collins,"Meridian Police Department, MS","EOW: Sunday, October 28, 1888",Cause of Death: Gunfire,Gunfire,1888-10-28,1888,FALSE,Meridian Police Department, MS
Patrolman James Brennan,"New York Municipal Police Department, NY","EOW: Sunday, October 28, 1888",Cause of Death: Gunfire,Gunfire,1888-10-28,1888,FALSE,New York Municipal Police Department, NY
Police Officer Patrick Shaughnessey,"Springfield Police Department, IL","EOW: Wednesday, November 7, 1888",Cause of Death: Gunfire,Gunfire,1888-11-07,1888,FALSE,Springfield Police Department, IL
Special Deputy Marshal Mose McIntosh,"United States Department of Justice - United States Marshals Service, US","EOW: Friday, November 9, 1888",Cause of Death: Gunfire,Gunfire,1888-11-09,1888,FALSE,United States Department of Justice - United States Marshals Service, US
Deputy Marshal D. J. Kinney,"Gadsden Police Department, AL","EOW: Thursday, November 22, 1888",Cause of Death: Gunfire,Gunfire,1888-11-22,1888,FALSE,Gadsden Police Department, AL
Night Watchman Samuel H. Hamilton,"Le Mars Police Department, IA","EOW: Saturday, November 24, 1888",Cause of Death: Gunfire,Gunfire,1888-11-24,1888,FALSE,Le Mars Police Department, IA
Patrolman Albert W. Thayer,"Detroit Police Department, MI","EOW: Monday, November 26, 1888",Cause of Death: Gunfire,Gunfire,1888-11-26,1888,FALSE,Detroit Police Department, MI
"Officer Thomas Roach, Jr.","Newark Police Department, OH","EOW: Thursday, November 29, 1888",Cause of Death: Gunfire,Gunfire,1888-11-29,1888,FALSE,Newark Police Department, OH
Deputy U.S. Marshal Thomas Goodson,"United States Department of Justice - United States Marshals Service, US","EOW: Saturday, December 1, 1888",Cause of Death: Gunfire,Gunfire,1888-12-01,1888,FALSE,United States Department of Justice - United States Marshals Service, US
